Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Hashimoto thyroiditis,S,21983002,135215,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Hashimoto's disease,S,21983002,,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Ord's thyroiditis,T,21983002,135215,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Autoimmune thyroiditis,N,66944004,4281109,"Autoimmune thyroiditis is a chronic disorder where the immune system creates antibodies that attack the thyroid and cause inflammation. This inflammation may initially cause excess release of thyroid hormones (hyperthyroidism ) but over time, this damage leads to insufficient thyroid hormone production (hypothyroidism), causing fatigue, weight gain, and depression. Genetic and environmental factors may play a role in the development of this disorder. There is no cure, but hormone treatments are available to manage symptoms.  

Several names are used for autoimmune thyroiditis. When it is known to be autoimmune, it is called Hashimoto's when the thyroid gland is enlarged (called a goiter), and (less commonly) Ord's thyroiditis, when the thyroid gland shrinks.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892249/,Eaton 2011,P,.52 to .58 cases per 100,,0.52,0.58, 100 ," 1,733,160 "," 1,933,140 "," 1,833,150 ", 550.0 ,,"Circulating autoantibodies against TG and thyroid peroxidase (TPO) are found, often at very high levels, in most patients with AT. These antibodies are common, albeit at low levels, in association with focal thyroiditis.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Autoimmune thyroiditis,C,66944004,4034815,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Autoimmune thyroiditis,C,66944004,4130018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892249/,Eaton 2011,P,.52 to .58 cases per 100,,0.52,0.58, 100 ," 1,733,160 "," 1,933,140 "," 1,833,150 ", 550.0 ,,"Circulating autoantibodies against TG and thyroid peroxidase (TPO) are found, often at very high levels, in most patients with AT. These antibodies are common, albeit at low levels, in association with focal thyroiditis.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Chronic lymphocytic thyroiditis,S,66944004,,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Autoimmune thyroiditis,Hashimoto's thyroiditis,S,21983002,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Autoimmune urticaria,Autoimmune urticaria,N,402397006,4224623,"Autoimmune urticaria occurs when the immune system attacks the normal tissues of the body, resulting in hives. The condition becomes chronic when the lesions persists longer than 6 weeks. Chronic autoimmune urticaria has been found to be associated with autoimmune thyroid disease.

Urticaria can also be caused by allergic reaction to plants like poison ivy, dyes found in clothing, and cosmetics. An allergic reaction is not an autoimmune disease because there is no involvement by the adaptive immune system and auto-antibodies that attack your own cells are not involved. There are antibodies (IgE antibodies), but they target the invading molecules (e.g., poison ivy), not the cells in the skin. In autoimmune urticaria, the antibodies created are attacking the skin itself, not an invading molecule. ",https://pubmed.ncbi.nlm.nih.gov/20456386/,Zuberbier 2010,P,"800.0 cases per 100,000",,800,," 100,000 "," 2,666,400 "," 2,666,400 "," 2,666,400 ", 800.0 ,autoantibodies against TG and thyroid peroxidase,"Chronic urticaria (CU) is a relatively common type of urticaria, defined as hives lasting longer than 6 weeks (Kaplan, 2004). It affects around 0.1% of the population including both adults and children (Schocket, 2006), with a higher predilection in women than in men (2:1), and with significant adverse effects on quality of life (Schocket, 2006). CU is currently divided into three subcategories (Greaves and Tan, 2007): (1) urticarial vasculitis (leukocytoclastic vasculitis of the small vessels with hives duration of more than 24 hours which can accompany autoimmune rheumatic diseases, inflammatory bowel disease, viral hepatitis, and paraproteinemia); (2) physical urticarias (with several subtypes, e.g., solar, cold, aquagenic, delayed pressure, vibratory, cholinergic, and dermographism); and (3) chronic autoimmune urticaria (which is caused by anti-FCεRI antibodies, and less often by anti-IgE antibodies).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Antibody,Strong,Autoimmune,Autoimmune urticaria,Chronic idiopathic urticaria,S,402397006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Autoimmune urticaria,Chronic urticaria,S,402397006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Autoimmune urticaria,Physical urticaria,S,402397006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Autoimmune urticaria and/or angioedema,Autoimmune urticaria and/or angioedema,N,402402005,4221673,"Both <a href=""/Disease_Profile/autoimmune-urticaria.aspx"">autoimmune urticaria</a> and <a href=""/Disease_Profile/autoimmune-angioedema.aspx"">autoimmune angioedema</a> are skin conditions associated with other autoimmune diseases. Urticaria is marked by raised, itchy, and red or pale areas, known as hives. Angioedema is swelling in skin and mucous membranes, including the mouth and throat, and is a more serious condition than urticaria. 

While they are also diseases on their own, patients will receive a diagnosis of a chronic version of the disease because the ICD coding system used in the medical record does not have codes for either disease. The SNOMED coding system (used in Europe) has a code for each condition, and for this combined term.
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953398/,Murdaca 2023,P,"800.0 cases per 100,000",,800,," 100,000 "," 2,666,400 "," 2,666,400 "," 2,666,400 ", 800.0 ,autoantibodies against TG and thyroid peroxidase,"Chronic urticaria (CU) is a relatively common type of urticaria, defined as hives lasting longer than 6 weeks (Kaplan, 2004). It affects around 0.1% of the population including both adults and children (Schocket, 2006), with a higher predilection in women than in men (2:1), and with significant adverse effects on quality of life (Schocket, 2006). CU is currently divided into three subcategories (Greaves and Tan, 2007): (1) urticarial vasculitis (leukocytoclastic vasculitis of the small vessels with hives duration of more than 24 hours which can accompany autoimmune rheumatic diseases, inflammatory bowel disease, viral hepatitis, and paraproteinemia); (2) physical urticarias (with several subtypes, e.g., solar, cold, aquagenic, delayed pressure, vibratory, cholinergic, and dermographism); and (3) chronic autoimmune urticaria (which is caused by anti-FCεRI antibodies, and less often by anti-IgE antibodies).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Autoimmune vasculitis,Autoimmune vasculitis,N,427213005,4146124,"Autoimmune vasculitis is a broad category of autoimmune diseases that all involve inflammation of the walls of blood vessels.  A more specific form, inflammation of arteries, is called arteritis.  It causes changes in the walls of blood vessels, including thickening, weakening, narrowing and scarring. These changes restrict blood flow, resulting in organ and tissue damage.

There are many types of vasculitis, and most of them are rare. Vasculitis might affect just one organ, such as your skin, or it may involve several. The condition can be short term (acute) or long lasting (chronic).",,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Balo concentric sclerosis,Balo concentric sclerosis,N,230380005,4046110,Balo's disease is a rare demyelinating disorder of the central nervous system in which the myelin (the fatty substance covering nerve cells) is damaged. ,CONFIRMED NO DATA Sept 2021,No studies found,P,Extremely rare," Extremely rare, no published data ",,,0, 50 , 50 , 50 , 0.0 ,See MS,subtype of multiple sclerosis,
Nervous System,Antibody,Strong,Autoimmune,Balo concentric sclerosis,Concentric sclerosis,S,230380005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Balo concentric sclerosis,Encephalitis periaxialis concentrica,S,230380005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Balo concentric sclerosis,Leukoencephalitis periaxialis concentric,S,230380005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Strong,Autoimmune,Balo concentric sclerosis,Tumefactive multiple sclerosis,S,230380005,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Behçet's syndrome,N,310701003,436642,"Behçet's syndrome is a chronic inflammatory disease that leads to mass inflammation in the blood vessels of the body which results in artery and vein damage. Many of the symptoms can seem unrelated at first, such as mouth sores, eye inflammation, skin rashes, etc, however, symptoms vary from person to person and varies depending on the body parts that are affected. Unfortunately, Behçet’s syndrome can lead to more serious complications such as blindness.

This disease is not well understood but is believed to be autoimmune in nature since the symptoms are due to vasculitis. Researchers have also found several genes to be associated with Behçet’s and believe that those with these genes can trigger Behçet’s if they are exposed to a virus or bacterium.",https://pubmed.ncbi.nlm.nih.gov/19405011/,Calamia 2009 and Mohammad 2013. ,P,"5.2 cases per 100,000",,5.2,," 100,000 "," 17,332 "," 17,332 "," 17,332 ", 5.2 ,"autoantibodies to tropomyosin 48063, Antibodies to protein S 32422","Antibodies to protein S have been detected, for example, in Behçet disease associated with thrombosis in five cases (Guermazi et al., 1997; Lechner et al., 2011).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=Behcet%27s+disease+is+a+rare+autoimmune&sort=date
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Behcet's syndrome,H,310701003,436642,"Behçet's syndrome is a chronic inflammatory disease that leads to mass inflammation in the blood vessels of the body which results in artery and vein damage. Many of the symptoms can seem unrelated at first, such as mouth sores, eye inflammation, skin rashes, etc, however, symptoms vary from person to person and varies depending on the body parts that are affected. Unfortunately, Behçet’s syndrome can lead to more serious complications such as blindness.

This disease is not well understood but is believed to be autoimmune in nature since the symptoms are due to vasculitis. Researchers have also found several genes to be associated with Behçet’s and believe that those with these genes can trigger Behçet’s if they are exposed to a virus or bacterium.",https://pubmed.ncbi.nlm.nih.gov/19405011/,Calamia 2009 and Mohammad 2013. ,P,"5.2 cases per 100,000",,5.2,," 100,000 "," 17,332 "," 17,332 "," 17,332 ", 5.2 ,"autoantibodies to tropomyosin 48063, Antibodies to protein S 32422","Antibodies to protein S have been detected, for example, in Behçet disease associated with thrombosis in five cases (Guermazi et al., 1997; Lechner et al., 2011).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=Behcet%27s+disease+is+a+rare+autoimmune&sort=date
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Behçet's disease,S,310701003,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Morbus Adamandiades-Behçet,S,310701003,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Hughes Stovin syndrome,S,721226005,36715522,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Behçet's syndrome,Hughes-Stovin syndrome,S,721226005,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Benign mucous membrane pemphigoid,N,34250006,4142060,"Cicatricial pemphigoid is a rare autoimmune disease, discovered in 2002, that causes blistering of the mucous membranes. This blistering is due to autoantibodies binding to anchoring filaments of the epidermis.  A common mucous membrane that is affected is the conjunctiva of the eye.  Other areas that can be affected include the skin, nose, mouth, and genitals.

Cicatricial pemphigoid is usually not chronic, and most patients symptoms disappear within 3 years.",https://www.ncbi.nlm.nih.gov/books/NBK526120/,Tolaymat 2020,I,".87 to 1.16 cases per 1,000,000", Incidence - cases per year ,0.87,1.16," 1,000,000 ", 290 , 387 , 338 , 0.1 ,IgG autoantibodies against BP180 antigen,"The majority of CP patients show circulating IgG autoantibodies against BP180 antigen (Balding et al., 1996).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Cicatricial pemphigoid,S,34250006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Mucous membrane pemphigoid,S,34250006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Ocular pemphigoid,S,34250006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Scarring pemphigoid,S,34250006,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Benign mucous membrane pemphigoid,Ocular cicatricial pemphigoid,T,314757003,4152707,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Bullous pemphigoid,Bullous pemphigoid,N,77090002,4298692,"Bullous pemphigoid is a rare, autoimmune, chronic skin disorder characterized by blistering. This disorder occurs most frequently in elderly people. Generalized blistering occurs in and under the upper layers of the skin and usually subsides spontaneously within several months or years. In some rare cases of Bullous pemphigoid, complications such as pneumonia may develop.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6109638/,Kridin 2018,P,"259.0 cases per 1,000,000",,259,," 1,000,000 "," 86,325 "," 86,325 "," 86,325 ", 25.9 ,"The autoantibodies in BP sera are predominantly of IgG1 and IgG4, IgE autoantibodies to BP180","BP patients have circulating and tissue-bound IgG autoantibodies described by Jordon et al. (Jordon et al., 1967), which are directed against two hemidesmosomal proteins (Mutasim et al., 1985) known as the BP230 (BPAG1) and the BP180 (BPAG2, type XVII collagen) antigens (Jordon et al., 1967; Stanley et al., 1981; Labib et al., 1986). The autoantibodies in BP sera are predominantly of IgG1 and IgG4 subclasses (Laffitte et al., 2001). In addition to IgG autoantibodies, IgE autoantibodies to BP180 are found in the majority of untreated BP patients (Dimson et al., 2003).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Antibody,Strong,Autoimmune,Bullous pemphigoid,Bullous pemphigoid,C,77090002,139899,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6109638/,Kridin 2018,P,"259.0 cases per 1,000,000",,259,," 1,000,000 "," 86,325 "," 86,325 "," 86,325 ", 25.9 ,"The autoantibodies in BP sera are predominantly of IgG1 and IgG4, IgE autoantibodies to BP180","BP patients have circulating and tissue-bound IgG autoantibodies described by Jordon et al. (Jordon et al., 1967), which are directed against two hemidesmosomal proteins (Mutasim et al., 1985) known as the BP230 (BPAG1) and the BP180 (BPAG2, type XVII collagen) antigens (Jordon et al., 1967; Stanley et al., 1981; Labib et al., 1986). The autoantibodies in BP sera are predominantly of IgG1 and IgG4 subclasses (Laffitte et al., 2001). In addition to IgG autoantibodies, IgE autoantibodies to BP180 are found in the majority of untreated BP patients (Dimson et al., 2003).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Antibody,Moderate,Autoimmune,Cataplexy and narcolepsy,Cataplexy and narcolepsy,N,193042000,437854,"Narcolepsy is a neurologic condition that causes a person to experience extreme sleepiness during the day without warning. When combined with cataplexy, a similar onset of muscle weakness, the condition is sometimes called narcolepsy type 1 and is suspected of being caused when the immune system attacks an important chemical in brain cells called hypocretin. The destruction of this chemical leads to the symptoms experienced by patients.

The first reports of narcolepsy being an autoimmune disease came in 2013, but retraction of that paper in 2014 put its status in doubt. Subsequent research and identification of the molecular mechanism by Mahoney et al. provides evidence and justifies classification as an autoimmune disease. ",https://pubmed.ncbi.nlm.nih.gov/31004158/,Scheer 2017,P,"14.0 cases per 100,000"," Truven data, there were 8 444 517 continuously enrolled patients and 6703 diagnosed with narcolepsy (prevalence overall: 79.4/100 000; without cataplexy: 65.4/100 000; with cataplexy: 14.0/100 000) ",14,," 100,000 "," 46,662 "," 46,662 "," 46,662 ", 14.0 ,,"There is an autoantibody association too, depending on the tribbles2 homolog protein (trib2), in 14–26% of DQB1 (cataplexy-associated) cases, but trib2 is a ubiquitously expressed protein, and there are no indications that antibodies to it are related to narcolepsy. ""One wonders how the story will eventually pan out!"" - latest evidence points to autoimmunity - citation needed. [AHA - 20201-01-06]

The Autoimmune Diseases . Elsevier Science. Kindle Edition. 

https://pubmed.ncbi.nlm.nih.gov/17259865/",https://pubmed.ncbi.nlm.nih.gov/?term=%22Narcolepsy+and+cataplexy%22+%22autoimmune%22&sort=date
Nervous System,Antibody,Moderate,Autoimmune,Cataplexy and narcolepsy,Narcolepsy type 1,S,735676003,42536721,,https://pubmed.ncbi.nlm.nih.gov/31004158/,Scheer 2017,P,"14.0 cases per 100,000"," Truven data, there were 8 444 517 continuously enrolled patients and 6703 diagnosed with narcolepsy (prevalence overall: 79.4/100 000; without cataplexy: 65.4/100 000; with cataplexy: 14.0/100 000) ",14,," 100,000 "," 46,662 "," 46,662 "," 46,662 ", 14.0 ,,"There is an autoantibody association too, depending on the tribbles2 homolog protein (trib2), in 14–26% of DQB1 (cataplexy-associated) cases, but trib2 is a ubiquitously expressed protein, and there are no indications that antibodies to it are related to narcolepsy. ""One wonders how the story will eventually pan out!"" - latest evidence points to autoimmunity - citation needed. [AHA - 20201-01-06]

The Autoimmune Diseases . Elsevier Science. Kindle Edition. 

https://pubmed.ncbi.nlm.nih.gov/17259865/",https://pubmed.ncbi.nlm.nih.gov/?term=%22Narcolepsy+and+cataplexy%22+%22autoimmune%22&sort=date
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Adult form of celiac disease,T,91867008,4241413,,,,,,,,,,0,0,0, -   ,,,
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Celiac disease,N,396331005,194992,"Celiac disease (CD) is an autoimmune disorder that results in damage and loss of function to the small intestine.  Disease onset is generally triggered by the consumption of foods containing gluten.  CD is also shown to be heritable in a number of patients.  Damage results when components of gluten proteins activate immune cells that attack the small projections (villi) lining the small intestine.  There are 6 types of CD:

Classic/Intestinal: This type often is diagnosed by the age of 3.  All ages of pediatric patients often experience digestive problems, stomach pain, diarrhea, and weight loss, whereas adults usually experience constipation and indigestion.

Non-classic/Extraintestinal: Patients with this type normally have nutritional deficiency, which leads to bone loss, lack of growth, tooth problems, and nerve damage.

Subclinical: Individuals with this type have milder symptoms that are improved when gluten is eliminated from the diet.  Diagnosis is often accidental through dietary experimentation or routine blood work.

Refractory: Patients with this type are chronically symptomatic despite eliminating gluten from their diet for a year or more.  Ulcers, lesions, and lymphoma may result in the small intestine.

Seronegative: This type is diagnosed in individuals who show the symptoms of CD but whose blood work tests negative for the condition.

Gluten free diet non-responsive: Individuals with this type show no improvement after following a gluten free diet for at least one year.  Symptoms are consistent with CD but may also include other disorders that produce similar symptoms. 

CD is generally treated by eliminating gluten from the diet.  Patients with an early diagnosis and who show improvement from dietary restrictions can expect to lead full and productive lives.  However, late diagnosis, failure to adhere to a gluten free diet, or lack of improvement from dietary restrictions can lead to complications, including cancer and problems with the spleen.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3496881/,Gujral 2012 and Rubio-Tapia 2012,P,.75 to 1.0 cases per 100,,0.75,1, 100 ," 2,499,750 "," 3,333,000 "," 2,916,375 ", 875.0 ,"IgA anti-endomysium antibodies, IgA antibodies to transglutaminse 2 ","Untreated celiac disease patients (on a regular diet) usually have increased levels of antibodies against gluten, other food antigens, and autoantigens. Initially, autoantibodies in celiac disease were detected as anti-reticulin antibodies by staining of various rat tissue (Alp and Wright, 1971; Seah et al., 1971). Later IgA anti-endomysium antibodies (EMA) either as detected by staining of monkey esophagus (Chorzelski et al., 1984) or human umbilical cord (Ladinser et al., 1994) were recognized. The main antigen recognized by anti-reticulin antibodies and EMA was identified as the enzyme transglutaminse 2 (TG2) (Dieterich et al., 1997), although antibodies to calreticulin and actin are also found (Clemente et al., 2000; Sanchez et al., 2000). The antibodies to TG2 are both of the IgA and IgG isotypes, but the IgA antibodies are most closely linked with celiac disease (Rostom et al., 2005).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Celiac sprue,S,396331005,,,,,,,,,,,0,0,0, -   ,,,
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Coeliac disease,S,396331005,,,,,,,,,,,0,0,0, -   ,,,
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Gluten-induced enteropathy,S,396331005,,,,,,,,,,,0,0,0, -   ,,,
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Gluten-sensitive enteropathy,S,396331005,,,,,,,,,,,0,0,0, -   ,,,
Digestive system,Antibody,Strong,Autoimmune,Celiac disease,Nontropical sprue,S,396331005,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Chronic Fatigue Syndrome,Chronic Fatigue Syndrome,N,52702003,432738,"The autoimmune nature of chronic fatigue syndrome is still unknown but the syndrome often arises as a symptom in patients with autoimmune disorders. Chronic fatigue syndrome, also becoming known as myalgic encephalomyelitis, can be classified as extreme fatigue, tiredness and weakness, that lasts for at least 6 months and worsens with physical or mental activity without improvement from rest. 

The cause of this syndrome is unknown, however, researchers believe that it may be caused by a combination of factors such as genetics, infections, physical or emotional trauma, and/or problems with energy usage. Although symptoms can come and go, it may be difficult for some individuals to maintain a regular schedule or to live independently, as some people may be too weak to get out of bed and others may need to use a wheelchair.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3616604/,Johnston 2015,P,"230.0 to 4,330.0 cases per 100,000",The pooled prevalence for self-reporting assessment was 3.28% (95% CI: 2.24–4.33) and 0.76% (95% CI: 0.23–1.29) for clinical assessment.,230,4330," 100,000 "," 766,590 "," 14,431,890 "," 7,599,240 "," 2,280.0 ",,"High among claimed causes of CFS are chronic viral infections, notably Epstein–Barr virus; the case for a murine retrovirus, XMRV, has been convincingly refuted. Other candidates are allergies, autoimmunity, hyper-reactive responses to unusual environmental exposures, and psychosomatic disorder. Despite evidence in CFS for immune activation and/or impaired indices of cell-mediated immunity (Lloyd et al., 1989, 1990; Buchwald and Komaroff, 1991), data from the conventional indications of inflammatory activity or tissue destruction (ESR, C-reactive protein) are non-supportive. Benefit from immunomodulatory treatment with intravenous immunoglobulin, of known efficacy in some well-defined antibody-mediated autoimmune diseases, is controversial, either endorsed (Lloyd et al., 1990) or refuted (Peterson et al., 1990). Analysis of an autoimmune component in CFS encounters issues such as specification of a clear associated diagnosis and a scarcity of affirmative evidence, perhaps indicative of unpublished negative studies, opposed to which is the known occurrence of fatigue in certain well-accepted autoimmune disorders. The major question then is whether, among cases fulfilling CDC criteria for CFS, there can be regularly identified a highly raised level of any autoantibody specificity, particularly antinuclear autoantibody (ANA). Positive studies include that of Behan et al. (1985) (50 cases) and another group (60 cases) (Konstantinov et al., 1996; von Mikecz et al., 1997) which cited a frequency of autoantibodies of 83% versus 17% in a control group, predominantly of ANA specificity, and directed particularly to nuclear envelope proteins, together with cytoplasmic staining patterns of intermediate filament-vimentin type thought to be indicative of viral infection. On the other hand, there are negative results for ANA in CFS (Skowera et al., 2002), or only modestly positive results (Vernon and Reeves, 2005). It is not the purpose here to review all the varied suppositions on the basis of CFS because none is sufficiently convincing. It can be said that autoimmunity does not provide an explanation for all cases of CFS, that autoantibodies when present might reflect some other as yet unidentified cause, and that autoimmunity likely is but one among a conglomerate

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Chronic Fatigue Syndrome,Myalgic encephalomyelitis,S,52702003,432738,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3616604/,Johnston 2015,P,"230.0 to 4,330.0 cases per 100,000",The pooled prevalence for self-reporting assessment was 3.28% (95% CI: 2.24–4.33) and 0.76% (95% CI: 0.23–1.29) for clinical assessment.,230,4330," 100,000 "," 766,590 "," 14,431,890 "," 7,599,240 "," 2,280.0 ",,"High among claimed causes of CFS are chronic viral infections, notably Epstein–Barr virus; the case for a murine retrovirus, XMRV, has been convincingly refuted. Other candidates are allergies, autoimmunity, hyper-reactive responses to unusual environmental exposures, and psychosomatic disorder. Despite evidence in CFS for immune activation and/or impaired indices of cell-mediated immunity (Lloyd et al., 1989, 1990; Buchwald and Komaroff, 1991), data from the conventional indications of inflammatory activity or tissue destruction (ESR, C-reactive protein) are non-supportive. Benefit from immunomodulatory treatment with intravenous immunoglobulin, of known efficacy in some well-defined antibody-mediated autoimmune diseases, is controversial, either endorsed (Lloyd et al., 1990) or refuted (Peterson et al., 1990). Analysis of an autoimmune component in CFS encounters issues such as specification of a clear associated diagnosis and a scarcity of affirmative evidence, perhaps indicative of unpublished negative studies, opposed to which is the known occurrence of fatigue in certain well-accepted autoimmune disorders. The major question then is whether, among cases fulfilling CDC criteria for CFS, there can be regularly identified a highly raised level of any autoantibody specificity, particularly antinuclear autoantibody (ANA). Positive studies include that of Behan et al. (1985) (50 cases) and another group (60 cases) (Konstantinov et al., 1996; von Mikecz et al., 1997) which cited a frequency of autoantibodies of 83% versus 17% in a control group, predominantly of ANA specificity, and directed particularly to nuclear envelope proteins, together with cytoplasmic staining patterns of intermediate filament-vimentin type thought to be indicative of viral infection. On the other hand, there are negative results for ANA in CFS (Skowera et al., 2002), or only modestly positive results (Vernon and Reeves, 2005). It is not the purpose here to review all the varied suppositions on the basis of CFS because none is sufficiently convincing. It can be said that autoimmunity does not provide an explanation for all cases of CFS, that autoantibodies when present might reflect some other as yet unidentified cause, and that autoimmunity likely is but one among a conglomerate

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Chronic Fatigue Syndrome,Systemic exertion intolerance disease,S,52702003,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,TCELL,Strong,Autoimmune,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyradiculoneuropathy,N,128209004,381009,"Chronic inflammatory demyelinating polyneuropathy is a rare neurological disease that inflames the nerve roots and peripheral nerves, damaging the myelin sheath. The destruction of the myelin sheath leads to loss of strength or sensation.",https://pubmed.ncbi.nlm.nih.gov/19260065/,Rajabally 2009.,P,"1.97 to 4.77 cases per 100,000",,1.97,4.77," 100,000 "," 6,566 "," 15,898 "," 11,232 ", 3.4 ,,"Expression of the blood–nerve barrier constituents claudin-5 and ZO-1 is altered in CIDP perhaps contributing to increased BNB permeability (Kanda et al., 2004). Within the endoneurium T cells secrete IFN-γ, IL-2, and TNF-α (Mathey et al., 1999) and probably others, contributing to inflammatory upregulation of effectors such as macrophages, continued recruitment, and direct nerve damage. Expression of downregulatory cytokines IL-4, IL-10, and TGF-β is also found, and in CIDP expression of NGF, GDNF, LIF, and their receptors may contribute to nerve regeneration (Yamamoto et al., 2002). Clear evidence of Fas deficiency gives support to an inability to halt the ongoing response as effectively as in a monophasic disease (Comi et al., 2009).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Nervous System,TCELL,Strong,Autoimmune,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyneuritis,S,128209004,381009,,https://pubmed.ncbi.nlm.nih.gov/19260065/,Rajabally 2009.,P,"1.97 to 4.77 cases per 100,000",,1.97,4.77," 100,000 "," 6,566 "," 15,898 "," 11,232 ", 3.4 ,,"Expression of the blood–nerve barrier constituents claudin-5 and ZO-1 is altered in CIDP perhaps contributing to increased BNB permeability (Kanda et al., 2004). Within the endoneurium T cells secrete IFN-γ, IL-2, and TNF-α (Mathey et al., 1999) and probably others, contributing to inflammatory upregulation of effectors such as macrophages, continued recruitment, and direct nerve damage. Expression of downregulatory cytokines IL-4, IL-10, and TGF-β is also found, and in CIDP expression of NGF, GDNF, LIF, and their receptors may contribute to nerve regeneration (Yamamoto et al., 2002). Clear evidence of Fas deficiency gives support to an inability to halt the ongoing response as effectively as in a monophasic disease (Comi et al., 2009).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
