Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Blood,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia,N,,,413603009,441269,"In autoimmune hemolytic anemia, red blood cells are destroyed by antibodies. In some cases, the antibodies are active only when the person is warm, in which case it is called <a href=""/Disease_Profile/warm-autoimmune-hemolytic-anemia.aspx"">warm autoimmune hemolytic anemia</a>. In other cases, the antibodies are active when the person is cold, and it is called <a href=""/Disease_Profile/cold-agglutinin-disease.aspx"">cold agglutinin disease</a>, and in others, the antibodies can be active regardless of the person's body temperature. There is also a form of hemolytic anemia called <a href=""/Disease_Profile/paroxysmal-nocturnal-hemoglobinuria.aspx"">paroxysmal nocturnal hemoglobinuria</a>, in which a genetic mutation causes antibodies to cause the same kind of destruction of red blood cells.",
Skin,Morphea,Localized scleroderma,T,,,201048007,441928,,
Systemic,Rheumatic fever,Rheumatic fever,N,,,58718002,442313,"Rheumatic fever is an inflammatory disease that sometimes develops as a complication of inadequately treated strep throat (group A streptococcal infection). Rheumatic fever can cause permanent damage to the heart including damaged heart valves and heart failure.  The disease is mostly diagnosed in children.

Rheumatic fever is not a chronic condition, but the consequences of the heart damage it may cause, rheumatic heart disease, can be chronic. 

The disease and its consequences can be prevented with antibiotics if the strep infection is diagnosed quickly, treatment is started in a timely manner, and the patient follows through with the treatment completely. 

Note: scarlet fever is another symptom of a strep infection but is not a separate cause of rheumatic fever.",
Glands,Addison's disease,Addison's disease,N,,,363732003,443394,"Addison's disease is a hormonal disorder that occurs when the adrenal glands do not produce enough of certain hormones. The two hormones that tend to be affected the most are cortisol and aldosterone. Symptoms may occur slowly over several months, and most people do not realize these are symptoms of Addison’s and ignore them. Early symptoms include fatigue, dizziness or fainting due to low blood pressure, sweating due to low blood sugar, upset stomach, abdominal pain, and muscle cramps or weakness. If symptoms become worse quickly, then it can develop into an adrenal crisis, resulting in death if not treated quickly enough.",adrenal cortical antibodies—ACA
Musculoskeletal,Transverse myelitis,Transverse myelitis,N,,,16631009,443904,"Inflammation of the spinal cord with neurological effects that go in a transverse (horizontal or bandlike) manner across the body, as opposed to going up or down the spinal cord.",
Musculoskeletal,Rheumatic Chorea,Rheumatic Chorea,Sydenham chorea,,,46826000,444120,"Rheumatic chorea, also called Sydenham chorea, is a rare neurological disorder typically occurring during childhood. It is caused by an autoimmune reaction following infection from the same bacterium that causes rheumatic fever. It leads to chorea: sudden, continuous, involuntary movements affecting the entire body. Symptoms can last in children anywhere from 3 weeks to several months. Patients with mild cases recover on their own in a few weeks, but treatment is available to provide relief to those with severe symptoms.

Since antibiotics have reduced the incidence of rheumatic fever, the incidence of rheumatic chorea in developed countries like the US is much lower than in developing countries. (Note that we could not find a study that supports a statistic cited in several papers that 30% of patients with rheumatic fever develop rheumatic chorea).",
Systemic,Chronic post-COVID-19 syndrome,Chronic post-COVID-19 syndrome,N,,,1119304009,600589,"In as many as 50% of cases of COVID-19 infection, the syndrome known as “Long COVID”  continues to affect a person for months, even years.  Data on this syndrome is mostly anecdotal and unscientific, but some formal research has been completed (citations below).

The symptoms of Long COVID are familiar to many people suffering from autoimmune diseases, including:

Fatigue

An unpredictable flare and remission pattern of recurrence

“Brain fog”, an interruption of memory, attention, and thought processing that can inhibit or prevent a person from performing normal activities

There are additional factors that COVID-19 and Long COVID share with autoimmune disease:

Myocarditis, reported among patients with COVID-19 and, in rare cases, among those who have been vaccinated, is also an autoimmune disease.

Blood clots similar to those found in the autoimmune disease antiphospholipid syndrome have been reported in patients with COVID-19 and Long COVID (though research suggests that the antibody response in Long COVID is not the same as the response found in autoimmune diseases).

High levels of antibodies to the immune-system proteins called type I interferons (IFNs) have been associated with severe COVID-19. 

A further factor leading to the inclusion of Long COVID on the list of autoimmune diseases is that evidence shows that severely ill patients tend to have a high concentration of pro-inflammatory cytokines, such as interleukin (IL)-6, compared to those who are moderately ill. 

Finally, there are other suspected associations between viral infection and autoimmune diseases. Most well known of these is the Epstein-Barr virus, which can lead to acute autoimmune diseases like Gulliere-Barre syndrome and chronic diseases like lupus. 

The Autoimmune Registry has decided to include Long COVID in its list of autoimmune diseases to support research into this emerging chronic condition.   We classify the level of evidence as “Unconfirmed”, which indicates that:

The disease follows a pattern common to autoimmune diseases;

Autoimmunity has not been ruled out; and 

More study is needed.",
Vascular system,Microscopic polyangiitis,Microscopic polyangiitis,Microscopic polyarteritis,,,1144805008,606328,"Microscopic polyangiitis (MPA) is a disorder that causes inflammation in the blood vessels. The inflammation can affect many of the body's organ systems including the kidneys, nervous system, skin, lungs, etc. Microscopic polyangiitis is believed to be autoimmune because the development of the disease is thought to come from an overreaction in the immune system that causes inflammation in the body's tissues and blood vessels. The disease can be confused with others such as polyarteritis nodosa (PAN), granulomatosis with polyangiitis (GPA), and cutaneous leukocytoclastic angiitis (CLA). However, in 1994, The Chapel Hill Consensus Conference defined MPA as a separate disorder. ",
Skin,Lichen sclerosus,Lichen sclerosus,N,,,895454001,619430,"Lichen sclerosus causes patches of skin to look white, thickened and crinkly. It most often affects the skin around the vulva or anus.There is circumstantial evidence that lichen sclerosus is autoimmune but no clear evidence to support it.  ",
Nervous System,Rasmussen syndrome,Rasmussen syndrome,C,,,4.35341E+14,763040,,
Nervous System,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,N,,,4.52281E+14,764228,"Anti-NMDA receptor encephalitis is an autoimmune disorder in which the body attacks the brain’s NMDA receptors. N-Methyl-D-Aspartate (NMDA) receptors are proteins that play a significant role in learning and memory.

When the NMDA receptor antibodies attack the NMDA receptors in the brain, certain functions of the brain are disrupted and brain swelling, or encephalitis, occurs. At disease onset, patients often have symptoms consistent with those caused by a virus.  Within 3 months of onset, patients develop psychological or neurological problems, including seizures and perceptual and behavioral changes.  As the disorder progresses, patients become verbally unresponsive and experience difficulty with movement.  With time, problems with regulation of autonomic processes, such as heart rate and breathing, emerge.  Some cases of this disease have been associated with tumors, especially of the ovary. In severe cases, complications can result in relapse, chronic cognitive problems, or death.  However, if treatment and medical supervision is received, most patients can expect to fully recover.","autoantibodies target the NMDA receptor, the AMPA receptor, the voltage-gated potassium channel (VGKC) complex, or a growing list of synaptic protein"
Heart,Myocarditis due to autoimmune disease,Autoimmune myocarditis,S,,,871640001,3656114,"Myocarditis is an inflammation of the heart wall. Myocarditis can affect both the heart's muscle cells and the heart's electrical system, leading to problems with the heart's pumping function and irregular heart rhythms. Myocarditis can also be caused by viral infections or systemic inflammatory conditions such as additional autoimmune disorders. In severe cases of myocarditis, the heart muscle weakens and cannot pump blood effectively to other parts of your body. There are 3 types of myocarditis: acute, chronic, and lymphocytic.",Tissue specific antibodies/tcells not found
Skin,Autoimmune progesterone dermatitis,Autoimmune progesterone dermatitis,N,,,838551007,3661498,"Autoimmune progesterone dermatitis is a recurrent skin rash that varies in severity and generally appears during the second half of the cycle when levels of the hormone, progesterone, begin to rise and it subsides shortly after menstruation.",
Skin,Dermatomyositis,Juvenile dermatomyositis,T,,,1212005,4005037,,
Glands,Polyglandular autoimmune syndrome type 1,Polyglandular autoimmune syndrome type 1,N,,,11244009,4008545,"Polyglandular autoimmune syndrome type 1 is a rare autoimmune condition that is caused by a genetic variant that prevents the destruction of antibodies in the thymus gland. As a result, those antibodies attack healthy tissue in a number of glands, leading to the symptoms. There are three components of APECED: chronic mucocutaneous candidiasis, hypoparathyroidism, and adrenal insufficiency.",
Blood,Paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal hemoglobinuria,R,,,1963002,4024671,"Paroxysmal nocturnal hemoglobinuria is a rare blood disorder caused when a protein is missing from a person's blood due to a mutation in a gene. Without the protein, the body's immune system attacks the red blood cells and breaks them apart.  ",
Systemic,Systemic sclerosis with limited cutaneous involvement,Systemic sclerosis sine scleroderma,T,,,128461001,4027230,"CREST is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Nervous System,Multiple sclerosis,"Systemic sclerosis, diffuse",T,,,128460000,4027727,,
Blood,Immune thrombocytopenia,Primary immune thrombocytopenia,T,,,128091003,4028065,,Glycoprotein IIb/IIIa
Nervous System,Uveitis,Uveitis,N,,,128473001,4028363,"Uveitis is an inflammation of the uvea - a set of tissues that form a layer of eyeball that sits between the outer layers of the eye and the ""vitreous chamber"", which forms the main body of the eye. The uvea itself has several kinds of tissue that can be affected by immune processes, all of which are called uveitis. About half of people who receive a diagnosis of uveitis have an autoimmune form of the disease. Uveitis is a term that means ""inflammation of the uvea"", and not all forms of uveitis are autoimmune, and not all individuals diagnosed with uveitis have an autoimmune form of uveitis. 

The most common form of autoimmune uveitis is <a href=""<a href=""https://diseases.autoimmuneregistry.org/Disease_Profile/intermediate-uveitis"">intermediate uveitis</a>.",
Glands,Graves' disease,Thyrotoxicosis due to Graves' disease,S,,,237499004,4034811,,
Glands,Autoimmune thyroiditis,Autoimmune thyroiditis,C,,,66944004,4034815,,
Vascular system,Necrotizing vasculitis,Necrotizing vasculitis,N,,,11791001,4039691,"Vasculitis is an inflammation of blood vessels. When vasculitis is severe, blood cannot reach important organs or tissues. In severe cases, the tissue dies, which is called necrosis, and the term ""necrotizing vasculitis"" is used. It is also called ""systemic vasculitis"" since the severity of the disease can be widespread. 

Necrotizing vasculitis can lead to blood clots, weight loss, loss of weight, exhaustion, depression, fever, and widespread pain that worsens in the morning.
The specific location of vasculitis inflammation determines what tissue or organs (e.g., kidneys, fingers, head) are affected, and the type of vasculitis often depends on the location.  For more information, see the specific forms of vasculitis elsewhere on the website (listed above). ",
Nervous System,Rasmussen syndrome,Rasmussen syndrome,N,,,230191005,4041672,"Rasmussen syndrome, or Rasmussen’s Encephalitis (RE), is a rare, progressive disease that involves cognitive decline due to inflammation of one half of the brain. Those with Rasmussen syndrome experience frequent seizures and eventual permanent brain damage. This disease mostly affects children ages 2 and 10, but can also affect adolescents and adults. Treatments for this disease include antiseizure medication, immunotherapy, and in more severe cases, brain surgery. The cause of Rasmussen's syndrome is unknown, however, researchers believe that it may be an autoimmune condition that affects one half of the brain or may occur due to an unknown virus entering the brain.",
Nervous System,Opsoclonus-myoclonus syndrome,Opsoclonus-myoclonus syndrome,N,,,230350000,4043399,"Opsoclonus-myoclonus syndrome is a rare autoimmune disorder that affects the nervous system. Inflammation in the neurological system causes this disorder. OMS typically occurs with tumors (neuroblastomas) or after a viral or bacterial infection. The immune reaction to the tumor or infection makes the body attack the nervous system. In some cases, the cause is unknown.",
Nervous System,Balo concentric sclerosis,Balo concentric sclerosis,N,,,230380005,4046110,Balo's disease is a rare demyelinating disorder of the central nervous system in which the myelin (the fatty substance covering nerve cells) is damaged. ,See MS
Nervous System,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyradiculoneuropathy with central nervous system demyelination,S,,,230564004,4048024,,
Skin,Alopecia areata,Alopecia Totalis,T,,,19754005,4056343,,
Liver,Primary sclerosing cholangitis,Primary sclerosing cholangitis,N,,,197441003,4058821,"PSC is a rare progressive disorder of the liver which is characterized by inflammation, thickening, and abnormal formation of fibrous tissue within the passages that carry bile from the liver (bile ducts). Both bile ducts within the liver and outside the liver are affected.",
Skin,Cutaneous lupus erythematosus,Lupus erythematosus tumidus,T,,,200941006,4066481,,
Skin,Pemphigus,Drug-induced pemphigus,T,,,200907003,4066821,,Desmogleins 
Skin,Cutaneous lupus erythematosus,Discoid lupus erythematosus,S,,,200938002,4066824,,
Skin,Morphea,Morphea,N,,,201049004,4066845,"Morphea is a disorder primarily affecting the skin.  There are several types of morphea:Localized or circumscribed morphea causes patients to develop oval-shaped areas of redness.  Irritated skin may be limited to a single patch or to several patches covering a smaller area.  

Generalized morphea is more widespread, affecting a number of skin regions throughout the body.  In linear morphea, skin irritation appears in a linear, rather than an oval shape.  Damage can penetrate to the tissues below the skin, including muscle and bone.  

Pansclerotic morphea,  the rarest and most severe form, usually affect children and involves the entire body, also penetrating through the skin into the bone.  The cause of morphea is unknown but is believed to be autoimmune.  

There is no cure for morphea, but treatments are available to manage symptoms.  Patches of irritation caused by mild types of morphea often improve in 3-5 years, though new patches may develop. However, damage affecting both the skin and the muscles/bones, as in linear morphea, may have a longer duration and occur in cycles of flares and remission, while pansclerotic morphea tends to worsen significantly with time.  Both linear and pansclerotic morphea may cause severe disability.",
Nervous System,Guillain-Barré syndrome,GBS,MFS,,,1767005,4070552,,
Nervous System,Guillain-Barré syndrome,Miller Fisher syndrome,Miller-Fisher syndrome,Fisher syndrome,,1767005,4070552,,
Digestive system,Inflammatory Bowel Disease,Crohn's disease,Inflammatory Bowel Disease,Microscopic colitis,Ulcerative colitis,24526004,4074815,"Inflammatory bowel diseases is a group of autoimmune diseases that includes Crohn's disease, ulcerative colitis, and microscopic colitis.",
Nervous System,Ophthalmoplegia due to Graves' disease,Thyroid eye disease,S,,,276177000,4077943,"Graves' ophthalmopathy (GO) is an autoimmune disorder affecting the eyes that is associated with Graves' disease.  In Graves' disease, the immune system targets and damages a specific cell type found in the thyroid.  This cell type is also found in the tissues surrounding the eyes (the orbit), and Graves' ophthalmopathy results when the immune system attacks these orbital cells in addition to the cells in the thyroid.  Patients with GO experience swelling in the tissues, muscles, and fat in the eye socket, which leads to an abnormal protrusion of the eye.  Smoking is associated with a greater risk of acquiring GO.  Patients often experience full recovery without intervention, but treatments are available to manage symptoms.",
Musculoskeletal,Juvenile Rheumatoid Arthritis,Juvenile chronic arthritis,S,,,239796000,4079731,,
Systemic,Sarcoidosis,Lofgrens syndrome,T,,,238676008,4081069,"One way the immune system works is to surround an invader and keep it from harming the body. Those small clumps of immune system cells are called granulomas and they form as part of the body's inflammation response to foreign, potentially harmful, substances. 

In sarcoidosis the inflammation process gets out of control, and granulomas form even though there is no foreign substance, and the number of granulomas increases. When left untreated, the granulomas harden and produce permanent scars, usually in the lungs but they can occur in other organs and tissues.  

The symptoms of sarcoidosis depend on where the granulomas form.   In some cases, the disease goes away on its own. In others, the disease may not progress clinically but individuals will still suffer from some symptoms that affect their quality of life. Up to a third of people diagnosed will require long-term treatment. Sarcoidosis is considered chronic in people whose disease remains active for more than 2-5 years; chronic sarcoidosis can be debilitating and life-threatening. 

Sarcoidosis often starts with a set of symptoms collectively referred to as Lofgren's Syndrome (see below).",
Skin,Cutaneous lupus erythematosus,Chronic discoid lupus erythematosus,T,,,238927000,4081248,,
Systemic,Fasciitis with eosinophilia syndrome,Fasciitis with eosinophilia syndrome,Eosinophilic fasciitis,Shulman's syndrome,,24129002,4083100,"Eosinophilic fasciitis is a rare, scleroderma-like, autoimmune rheumatic disorder in which the skin and tissue (the fascia, fibrous tissue that separates different layers of tissues under the skin) that lies beneath the skin become painfully inflamed and swollen and gradually hardens. It affects the forearms, the upper arms, the lower legs, the thighs, and the trunk (in order of decreasing frequency). The disease is considered by some to be a deep variant of the skin condition morphea, and is also known as pansclerotic morphea with deep fascial involvement. Patients usually present suddenly with painful, tender, swollen and red extremities. Within weeks to months, patients develop stiffness and affected skin becomes hardened, creating a characteristic orange-peel appearance over the surfaces of the extremities. In severely affected areas, the skin and the subcutaneous tissue are bound tightly to the underlying muscle. This creates a woody-type appearance. The presentation of eosinophilic fasciitis is similar to scleroderma or systemic sclerosis. However unlike scleroderma it affects the fascia, not the skin (dermis). Unlike scleroderma and systemic sclerosis, effects such as Raynaud's phenomenon, which affects prominent small blood vessels in the extremities (telangiectasia), and visceral changes, such as swallowing problems, are absent. It was first characterized in 1974 and it is not yet known whether it is actually a distinct condition or just a different presentation of morphea.",
Blood,Antiphospholipid syndrome,Antiphospholipid syndrome,N,,,26843008,4098292,"Antiphospholipid syndrome occurs when the immune system attacks some of the normal proteins in the blood. 

There's no cure for antiphospholipid syndrome, but medications can reduce the risk of blood clots.",Beta-2 glycoprotein I
Skin,Acquired epidermolysis bullosa,Acquired epidermolysis bullosa,N,,,2772003,4100661,"In epidermolysis bullosa acquisita (EBA) the skin and mucus membranes are chronically inflamed and may form blisters in response to minor injury. Common areas of blistering include the hands, feet, knees, elbows, and buttocks. It can also affect the mouth, nose, and eyes.  Evidence suggests an association between EBA and inflammatory bowel diseases (IBD), such as ulcerative colitis and Crohn's disease. IBD is reported to be present in approximately 30% of EBA patients. There are two main types of EBA, non-inflammatory and non-inflammatory. The non-inflammatory type is more common and resembles the hereditary disease, epidermolysis bullosa. The inflammatory types resemble autoimmune bullous pemphigoid. Mucous Membrane EBA (MM-EBA) is a type of inflammatory EBA that affects mucous membranes. EBA is marked by the presence of autoantibodies (mainly IgG class) to type VII collagen (Col7). EBA may mimic other inflammatory blistering diseases, most often bullous pemphigoid and bullous systemic lupus erythematosus (which is also associated with anti-Col7 autoantibodies).",
Vascular system,Immunoglobulin A vasculitis,Immunoglobulin A vasculitis,Henoch-Schonlein purpura,IgA vasculitis,Purpura rheumatica,191306005,4101602,"Immunoglobulin A vasculitis, also known as purpura rheumatica, is a temporary, childhood form of vasculitis due to inflammation of small blood vessels (capillaries) caused by an attack by the immune system. Purpura rheumatica is marked by inflammation in capillaries, the smallest blood vessels. Symptoms can be broad but must include raised, rash-like papules on the skin that do not turn white when pressed. Additional symptoms may include abdominal discomfort and joint pain. A clinician may also find deposits of an immune system protein (antibody or immunoglobulin) called IgA in the kidneys or small amounts of protein/hemoglobin present in urine samples. 

This condition is usually temporary (4-6 weeks) with a full recovery for most patients. Very rarely, Purpura rheumatica can lead to complications with kidney or lung function. ",
Nervous System,Paraneoplastic cerebellar degeneration,Paraneoplastic cerebellar degeneration,N,,,192877007,4102330,"Paraneoplastic cerebellar degeneration (PCD) is a rare autoimmune disorder that occurs in patients with carcinoma. PCD results when the immune system does not differentiate between tumor cells and healthy cells in the cerebellum and attacks both, causing damage. Cancer is often undetected in these patients until symptoms of PCD emerge. Disease progresses quickly, and patients will experience motor and cognitive difficulties that become disabling within less than a few weeks. Treatments are available to manage symptoms, but prognosis is usually poor.",https://pubmed.ncbi.nlm.nih.gov/27606347/
Blood,Immune thrombocytopenia,Immune thrombocytopenia,N,,,2897005,4103532,"Immune thrombocytopenia is a pair of autoimmune blood disorders that involves destruction of the normal blood clotting process. ""Thrombocytopenia"" simply means ""low platelet count"" and could be caused by many things. One symptom of these conditions is easy or excessive bruising and bleeding, so some names include the term ""purpura"", which means purple or red discolorations on the skin. The bleeding results from blood pooling under the skin because clotting is impaired.  Until scientists identified the autoimmune cause of the disease, it was called ""idiopathic thrombocytopenia"" because the cause was unknown, and until a cause of an individual's disease is known, that label might be used. 

In immune thrombocytopenia, the platlets are destroyed by the antibodies produced by the immune system. However, the tests for these antibodies are not precise, so other methods are used to confirm a diagnosis, including determining if other autoimmune diseases are present. Secondary autoimmune thrombocytopenia simply refers to immune thrombocytopenia triggered by another autoimmune disease or by a non-autoimmune disease (such as COVID-19). The treatments for secondary immune thrombocytopenia are usually determined by the underlying condition.

IIn autoimmune thrombotic thrombocytopenic purpura, sometimes called autoimmune TTP, autoantibodies attack ADAMTS13, an enzyme essential to regulating clot formation. The enzyme normally breaks down a protein called ""ultra-large von Willebrand factor"" (UL-vWF), and when that protein accumulates, platelets stick together, leading to blood clots. With the platelets stuck together, there are not enough platelets circulating in the bloodstream, which can lead to purpura (red or purple blotches on the skin). Although the symptoms of autoimmune TTP and immune thrombocytopenia are similar, the disease mechanism is very different.

Note that thrombotic thromocytopenic purpura, TTP, is a <i><b>genetic</i></b> disease that is caused by inherited genetic mutations in the ADAMTS13 gene that lead to the same symptoms as autoimmune TTP.  TTP is not autoimmune, and a genetic test to look for mutations in the gene that produces ADAMTS13 can be performed to rule out a genetic cause and lend support to a diagnosis of the autoimmune form of the disease. ",Glycoprotein IIb/IIIa
Vascular system,Vogt-Koyanagi-Harada disease,Vogt-Koyanagi-Harada disease,N,,,193497004,4108968,"Vogt-Koyanagi-Harada (VKH), is a rare disease that affects multiple systems including the nervous system and skin. The disease results in rapid vision loss as well as loss of hearing and hair. Although the cause of VKH is unknown, researchers believe that it is an immune response to a genetic defect of the Human Leukocyte antigen (HLA). Other researchers believe that there may be a genetic predisposition for VKH and may only be expressed by an environmental trigger.",
Systemic,Angiofollicular lymph node hyperplasia,Angiofollicular lymph node hyperplasia,Castleman's disease,,,207036003,4118225,"Castleman disease (CD) is a group of rare disorders that involve enlarged lymph nodes due to an unexplained activation of the immune system that leads to a hyper-inflammatory state, causing damage to multiple organs. Based on the number of regions in the body that have enlarged lymph nodes, CD can be classified as unicentric or multicentric. This difference is important because unicentric CD and multicentric CD require different treatments. There are four main types of CD:

Unicentric Castleman disease (UCD)

POEMS-associated multicentric Castleman disease (POEMS-MCD)

HHV-8-associated multicentric Castleman disease (HHV-8+MCD)

HHV-8-negative/idiopathic multicentric Castleman disease (iMCD)",
Systemic,Angiofollicular lymph node hyperplasia,,S,,,207036003,4118225,,
Skin,Lichen sclerosus,Lichen sclerosus et atrophicus,U,,,25674000,4119189,,
Lungs,Interstitial lung disease,Idiopathic pulmonary fibrosis,Interstitial lung disease,Cryptogenic organizing pneumonia,,233703007,4119786,"Interstitial lung disease is a small group of diseases that feature inflammation and the development of fibrous tissue that affects the small airways and the small sacks in the lungs (alveoli) where oxygen is exchanged for carbon dioxide. The two most common diseases in this group are idiopathic pulmonary fibrosis and cryptogenic organizing pneumonia, both of which can occur as “idiopathic” conditions (where the cause is unknown) or in association with several autoimmune diseases. Although both are classified as “lung disorders of unknown etiology,” there are clues that autoimmune mechanisms play a role in the development of both disorders. ",
Blood,Immunoglobulin G4 related disease,IgG4 deficiency,T,,,234549008,4121282,,
Blood,Autoimmune neutropenia,Autoimmune neutropenia,N,,,234425008,4125635,"Neutropenia is defined as a low white blood cell count.  There are many forms of neutropenia connected to autoimmune disease. It is important to understand which form is which.

Primary neutropenia is diagnosed when there are no other conditions diagnosed. Secondary neutropenia is a low white blood cell count that occurs when other diseases are present, such as lupus, rheumatoid arthritis, or inflammatory bowel disease. This article only covers primary neutropenia.

Primary neutropenia most often appears in infants and children. The cause may be unrelated to autoimmune disease. Most cases of childhood primary neutropenia that are autoimmune are not serious and the disease goes away in 3 to 5 years with no long term effects. However, in a relatively small number of patients, the disease becomes chronic.  Adults, mostly women, can also develop primary autoimmune neutropenia after childhood.  These cases are almost always chronic. 

In chronic autoimmune neutropenia the body produces IgG antibodies that target and destroy the body's own white blood cells (“neutrophils”), which leads to a lowered white blood cell count and leaves patients with weakened immune systems susceptible to bacterial and other infections.  
",
Nervous System,Neuromyotonia,Neuromyotonia,N,,,305719002,4125693,"Neuromyotonia (also known as Issacs' syndrome) is a rare, autoimmune disorder in which hyperactive nerves cause muscles to be over-activated. This hyperactivity results in muscle stiffness, twitching, cramping, increased sweating, and delayed muscle relaxation, especially in the limbs and trunk. These symptoms can occur anytime, even when asleep or under anaesthesia. Weakened reflexes and muscle pain is also common.  There is currently no cure, but treatment may manage symptoms.",
Kidney,Anti-glomerular basement membrane disease,Goodpasture disease,Anti-glomerular basement membrane disease,,,50581000,4126115,,
Glands,Female infertility due to antisperm antibodies,Infertility due to antisperm antibodies,S,,,236816007,4127869,,
Kidney,IgA nephropathy,IgA nephropathy,N,,,236407003,4128061,"A kidney disease that occurs when the antibody immunoglobulin A lodges in the kidneys.  In IgA nephropathy, the antibodies do not attack tissue directly, but they do cause inflammation that can inhibit the kidneys' ability to filter wastes from the blood over time.  ARI classifies IgA nephropathy as immune-related, not autoimmune.   ",
Glands,Autoimmune thyroiditis,Autoimmune thyroiditis,C,,,66944004,4130018,,
Blood,Cold agglutinin disease,Cold agglutinin disease,N,,,127055007,4131128,"Cold agglutinin disease is a type of autoimmune hemolytic anemia in which the body's immune system attacks and destroys its own red blood cells.  Unlike warm autoimmune hemolytic anemia, the autoimmune destruction of cells occurs when a person is exposed to cold, or their body temperature is below normal. Some patients experience heart problems because the heart has to work harder to make sure the body gets enough healthy red blood cells  ",
Blood,Immune thrombocytopenia,Autoimmune neonatal thrombocytopenia,T,,,128092005,4133983,,Glycoprotein IIb/IIIa
Blood,Immune thrombocytopenia,Secondary autoimmune thrombocytopenia,T,,,128092005,4133983,,Glycoprotein IIb/IIIa
Nervous System,Complex regional pain syndrome,Complex regional pain syndrome,N,,,128200000,4134577,"Complex regional pain syndrome (CRPS) and amplified musculoskeletal pain syndromes (AMPS) are chronic pain conditions lasting at least 6 months. CRPS is often triggered by an injury followed by immobilization, and is marked by pain that does not diminish in a manner typical for the injury.  Patients experience unreasonably intense pain in the arms, legs, hands, or feet, both in response to painful and non-painful triggers. Pain can include burning, tingling, or squeezing sensations.  Redness and swelling are often present in the affected area.  There are two types of CRPS.  Patients with CRPS-I/Reflex Sympathetic Dystrophy do not have a confirmed nerve injury, whereas patients with CRPS-II/Causalgia do have an associated, confirmed nerve injury. CRPS usually occurs after an injury that caused damage to the nervous system. The cause is unknown but there are correlations with immune processes that result in swelling surrounding injury.  Treatments are available to manage symptoms, which help some patients, but not all.  Younger patients are more likely to recover than older patients, whose pain may persist and lead to disability.There is no known cause, and autoimmunity is suspected, but no evidence of autoimmunity has been definitively linked to CRPS.",
Systemic,Mixed collagen vascular disease,Mixed collagen vascular disease,N,,,398049005,4134867,"Mixed collagen vascular disease, also called mixed connective tissue disease (MCTD), is an autoimmune disorder that shares symptoms with other connective tissue diseases, including polymyositis/dermatomyositis, systemic lupus erythematosus (SLE), scleroderma, and autoimmune rheumatic diseases.  Examples of commonly shared symptoms are abnormally cold hands, joint pain, organ problems, and feelings of malaise.  However, one feature unique to MCTD is the presence of anti-RNP antibodies in the blood.  Raynaud's phenomenon and high blood pressure in the lungs are also more common in MCTD, while kidney symptoms are milder.  Some complications can be fatal, but treatments are available to manage both mild and life-threatening symptoms.   [Hajas et al., 2013].",
Systemic,Mixed collagen vascular disease,Mixed connective tissue disease,S,,,398049005,4134867,,
Liver,Primary biliary cholangitis,Primary biliary cholangitis,N,,,31712002,4135822,Primary biliary cholangitis is chronic disease in which the bile ducts of the liver are slowly destroyed due to inflammation with progressive scarring.,
Liver,Primary biliary cholangitis,Primary biliary cirrhosis,S,,,31712002,4135822,,
Systemic,Systemic sclerosis with limited cutaneous involvement,Limited cutaneous systemic sclerosis,T,,,31848007,4135937,"CREST is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Blood,Immune thrombocytopenia,Idiopathic thrombocytopenic purpura,S,,,32273002,4137430,,
Nervous System,Autoimmune encephalitis,Bickerstaff's brainstem encephalitis,T,,,427086003,4141686,,anti-GQ1b IgG antibody
Nervous System,Autoimmune encephalitis,Bickerstaff's encephalitis,S,,,427086003,4141686,,anti-GQ1b IgG antibody
Musculoskeletal,Chronic Lyme disease,Lyme Arthritis,S,,,33937009,4141757,,
